1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    75939    0.083    0.000    0.138    0.000 stride_tricks.py:262(<listcomp>)
    75939    0.293    0.000    1.015    0.000 stride_tricks.py:206(broadcast_arrays)
    75939    0.082    0.000    1.192    0.000 <__array_function__ internals>:2(broadcast_arrays)
    75852    0.015    0.000    0.015    0.000 artist.py:555(get_gid)
    75852    0.016    0.000    0.016    0.000 artist.py:666(get_path_effects)
    74115    1.386    0.000    6.243    0.000 lines.py:667(recache)
    74115    0.020    0.000    0.020    0.000 __init__.py:1616(<lambda>)
    73197    0.061    0.000    0.878    0.000 transforms.py:1236(__add__)
    72698    0.067    0.000    0.068    0.000 mul.py:1115(<genexpr>)
    72698    0.031    0.000    1.220    0.000 mul.py:1122(<genexpr>)
    72645    1.565    0.000   22.458    0.000 lines.py:751(draw)
    72461    0.230    0.000    1.029    0.000 mul.py:1285(_eval_pos_neg)
    72077    0.048    0.000    0.048    0.000 numbers.py:1109(_eval_is_finite)
    71838    0.073    0.000    0.217    0.000 axis.py:1881(getter)
    71787    0.024    0.000    0.024    0.000 {method 'split' of 'str' objects}
    70533    0.074    0.000    3.172    0.000 transforms.py:280(__array__)
    70380    0.018    0.000    0.018    0.000 backend_bases.py:880(set_clip_rectangle)
    68784    0.029    0.000    0.029    0.000 backend_agg.py:254(points_to_pixels)
    68257    0.139    0.000    0.626    0.000 transforms.py:2299(__init__)
    67290    0.107    0.000    0.107    0.000 {built-in method matplotlib._path.affine_transform}
    65766    0.017    0.000    0.017    0.000 markers.py:264(get_fillstyle)
    65766    0.061    0.000    0.230    0.000 numbers.py:1721(__eq__)
    65208    0.349    0.000    0.375    0.000 contextlib.py:81(__init__)
    65208    0.097    0.000    0.778    0.000 contextlib.py:107(__enter__)
    65208    0.108    0.000    0.464    0.000 contextlib.py:116(__exit__)
    65208    0.111    0.000    0.486    0.000 contextlib.py:237(helper)
    65124    0.064    0.000    0.168    0.000 lines.py:953(_get_markerfacecolor)
    65028    0.038    0.000    0.273    0.000 transforms.py:1696(transform)
    65028    0.090    0.000    0.236    0.000 transforms.py:1776(transform_affine)
    64983    0.034    0.000    4.260    0.000 add.py:19(_addsort)
    64947    1.442    0.000   13.512    0.000 add.py:78(flatten)
    64442    0.143    0.000    0.221    0.000 axes3d.py:770(get_xlim3d)
    64442    0.118    0.000    0.183    0.000 axes3d.py:780(get_ylim3d)
    64074    0.044    0.000    0.093    0.000 artist.py:569(get_snap)
    62208    0.059    0.000    0.109    0.000 symbol.py:254(_eval_subs)
    61952    0.039    0.000    0.661    0.000 <__array_function__ internals>:2(norm)
    61952    0.009    0.000    0.009    0.000 linalg.py:2321(_norm_dispatcher)
    61952    0.264    0.000    0.566    0.000 linalg.py:2325(norm)
    61608    0.010    0.000    0.010    0.000 fromnumeric.py:3075(_around_dispatcher)
    61567    0.185    0.000    0.358    0.000 transforms.py:916(intervalx)
